date,group,team_a,team_b,score_a,score_b,actual_result,predicted_result,prob_home_win,prob_draw,prob_away_win,rank_a,rank_b,rank_diff,form_a,form_b,correct
Jun 24,B,Switzerland,Canada,3,1,home_win,home_win,40.5,34.8,24.7,19,48,-29.0,0.4,0.3,True
Jun 24,B,Bosnia and Herzegovina,Qatar,3,1,home_win,away_win,15.5,25.9,58.6,75,35,40.0,0.2,0.1,False
Jun 24,C,Scotland,Brazil,0,3,away_win,away_win,17.4,31.9,50.7,39,4,35.0,0.7,0.5,True
Jun 24,C,Morocco,Haiti,4,2,home_win,home_win,66.4,24.3,9.3,12,86,-74.0,0.6,0.4,True
Jun 25,D,Paraguay,Australia,0,0,draw,away_win,15.2,31.5,53.3,58,23,35.0,0.4,0.5,False
Jun 25,D,USA,Türkiye,2,3,away_win,home_win,40.0,32.8,27.2,11,41,-30.0,0.6,0.7,False
Jun 25,E,Côte d'Ivoire,Curaçao,2,0,home_win,home_win,59.7,27.6,12.8,37,88,-51.0,0.8,0.4,True
Jun 25,E,Ecuador,Germany,2,1,home_win,away_win,10.2,24.4,65.4,30,16,14.0,0.4,1.0,False
Jun 25,F,Tunisia,Netherlands,1,3,away_win,away_win,13.1,28.5,58.4,41,7,34.0,0.3,0.6,True
Jun 25,F,Japan,Sweden,1,1,draw,draw,29.4,38.9,31.7,17,28,-11.0,0.6,0.3,True
Jun 26,G,New Zealand,Belgium,1,5,away_win,away_win,5.7,15.2,79.1,107,3,104.0,0.1,0.6,True
Jun 26,G,Egypt,IR Iran,1,1,draw,away_win,17.3,32.8,50.0,36,20,16.0,0.4,0.5,False
Jun 26,H,Cabo Verde,Saudi Arabia,2,0,home_win,away_win,27.6,35.0,37.3,65,56,9.0,0.3,0.3,False
Jun 26,H,Uruguay,Spain,0,1,away_win,away_win,17.6,33.7,48.6,14,8,6.0,0.4,0.6,True
Jun 26,I,Iraq,France,1,4,away_win,away_win,11.4,26.4,62.2,55,2,53.0,0.5,0.8,True
Jun 26,I,Senegal,Norway,2,3,away_win,home_win,44.7,34.0,21.3,18,46,-28.0,0.6,0.6,False
Jun 27,J,Jordan,Argentina,1,3,away_win,away_win,9.1,22.8,68.2,68,1,67.0,0.4,0.9,True
Jun 27,J,Algeria,Austria,3,3,draw,away_win,19.1,28.0,52.9,44,25,19.0,0.7,0.8,False
Jun 27,K,Congo DR,Uzbekistan,3,1,home_win,away_win,30.4,34.1,35.5,61,62,-1.0,0.4,0.3,False
Jun 27,K,Colombia,Portugal,0,0,draw,away_win,24.8,34.3,40.9,12,6,6.0,0.7,0.6,False
Jun 27,L,Panama,England,0,2,away_win,away_win,11.9,24.9,63.2,43,5,38.0,0.4,0.8,True
Jun 27,L,Croatia,Ghana,2,1,home_win,home_win,57.0,29.1,13.9,9,64,-55.0,0.6,0.4,True
